id_obra,chuva_mm
CCbjj-354,412
CCbjj-355,52
CCbjj-356,130
CCbjj-357,78
CCbjj-358,391
CCbjj-359,289
CCbjj-360,414
CCbjj-361,478
CCbjj-362,196
CCbjj-363,416
CCbjj-364,269
CCbjj-365,342
CCbjj-366,344
CCbjj-367,141
CCbjj-368,236
CCbjj-369,276
CCbjj-370,264
CCbjj-371,403
CCbjj-372,303
CCbjj-373,178
CCbjj-374,85
CCbjj-375,209
CCbjj-376,411
CCbjj-377,421
CCbjj-378,310
CCbjj-379,189
CCbjj-380,405
CCbjj-381,99
CCbjj-382,325
CCbjj-383,369
CCbjj-384,270
CCbjj-385,442
CCbjj-386,226
CCbjj-387,192
CCbjj-388,112
CCbjj-389,132
CCbjj-390,489
CCbjj-391,190
CCbjj-392,384
CCbjj-393,391
CCbjj-394,131
CCbjj-395,269
CCbjj-396,459
CCbjj-397,229
CCbjj-398,188
CCbjj-399,232
CCbjj-400,353
CCbjj-401,453
CCbjj-402,226
CCbjj-403,71
CCbjj-404,243
CCbjj-405,201
CCbjj-406,282
CCbjj-407,46
CCbjj-408,177
CCbjj-409,145
CCbjj-410,409
CCbjj-411,233
CCbjj-412,210
CCbjj-413,329
CCbjj-414,430
CCbjj-415,312
CCbjj-416,180
CCbjj-417,275
CCbjj-418,87
CCbjj-419,226
CCbjj-420,270
CCbjj-421,213
CCbjj-422,121
CCbjj-423,130
CCbjj-424,123
CCbjj-425,458
CCbjj-426,442
CCbjj-427,427
CCbjj-428,421
CCbjj-429,75
CCbjj-430,184
CCbjj-431,99
CCbjj-432,420
CCbjj-433,311
CCbjj-434,455
CCbjj-435,59
CCbjj-436,238
CCbjj-437,291
CCbjj-438,352
CCbjj-439,112
CCbjj-440,496
CCbjj-441,467
CCbjj-442,245
CCbjj-443,249
CCbjj-444,320
CCbjj-445,64
CCbjj-446,34
CCbjj-447,387
CCbjj-448,35
CCbjj-449,276
CCbjj-450,122
CCbjj-451,308
CCbjj-452,344
CCbjj-453,464
CCbjj-454,219
CCbjj-455,386
CCbjj-456,61
CCbjj-457,286
CCbjj-458,462
CCbjj-459,255
CCbjj-460,265
CCbjj-461,57
CCbjj-462,399
CCbjj-463,228
CCbjj-464,450
CCbjj-465,58
CCbjj-466,176
CCbjj-467,141
CCbjj-468,137
CCbjj-469,48
CCbjj-470,464
CCbjj-471,497
CCbjj-472,402
CCbjj-473,300
CCbjj-474,437
CCbjj-475,390
CCbjj-476,218
CCbjj-477,82
CCbjj-478,229
CCbjj-479,144
CCbjj-480,216
CCbjj-481,36
CCbjj-482,496
CCbjj-483,377
CCbjj-484,105
CCbjj-485,375
CCbjj-486,128
CCbjj-487,97
CCbjj-488,63
CCbjj-489,36
CCbjj-490,467
CCbjj-491,248
CCbjj-492,480
CCbjj-493,382
CCbjj-494,169
CCbjj-495,343
CCbjj-496,496
CCbjj-497,337
CCbjj-498,151
CCbjj-499,238
CCbjj-500,341
CCbjj-501,111
CCbjj-502,288
CCbjj-503,426
CCbjj-504,125
CCbjj-505,348
CCbjj-506,418
CCbjj-507,182
CCbjj-508,115
CCbjj-509,400
CCbjj-510,400
CCbjj-511,101
CCbjj-512,81
CCbjj-513,493
CCbjj-514,125
CCbjj-515,290
CCbjj-516,385
CCbjj-517,344
CCbjj-518,310
CCbjj-519,365
CCbjj-520,373
CCbjj-521,43
CCbjj-522,234
CCbjj-523,81
CCbjj-524,310
CCbjj-525,248
CCbjj-526,101
CCbjj-527,85
CCbjj-528,239
CCbjj-529,322
CCbjj-530,227
CCbjj-531,419
CCbjj-532,438
CCbjj-533,433
CCbjj-534,308
CCbjj-535,86
CCbjj-536,210
CCbjj-537,472
CCbjj-538,147
CCbjj-539,366
CCbjj-540,253
CCbjj-541,346
CCbjj-542,340
CCbjj-543,365
CCbjj-544,305
CCbjj-545,288
CCbjj-546,350
CCbjj-547,322
CCbjj-548,192
CCbjj-549,153
CCbjj-550,45
CCbjj-551,397
CCbjj-552,33
CCbjj-553,288
CCbjj-554,137
CCbjj-555,302
CCbjj-556,201
CCbjj-557,220
CCbjj-558,127
CCbjj-559,199
CCbjj-560,127
CCbjj-561,174
CCbjj-562,53
CCbjj-563,194
CCbjj-564,287
CCbjj-565,149
CCbjj-566,299
CCbjj-567,423
CCbjj-568,300
CCbjj-569,66
CCbjj-570,343
CCbjj-571,459
CCbjj-572,210
CCbjj-573,111
CCbjj-574,283
CCbjj-575,341
CCbjj-576,266
CCbjj-577,42
CCbjj-578,192
CCbjj-579,193
CCbjj-580,359
CCbjj-581,378
CCbjj-582,447
CCbjj-583,53
CCbjj-584,210
CCbjj-585,56
CCbjj-586,486
CCbjj-587,486
CCbjj-588,103
CCbjj-589,169
CCbjj-590,172
CCbjj-591,32
CCbjj-592,313
CCbjj-593,294
CCbjj-594,452
CCbjj-595,59
CCbjj-596,86
CCbjj-597,308
CCbjj-598,443
CCbjj-599,349
CCbjj-600,429
CCbjj-601,149
CCbjj-602,449
CCbjj-603,315
CCbjj-604,75
CCbjj-605,386
CCbjj-606,109
CCbjj-607,285
CCbjj-608,377
CCbjj-609,403
CCbjj-610,433
CCbjj-611,491
CCbjj-612,138
CCbjj-613,85
CCbjj-614,250
CCbjj-615,267
CCbjj-616,322
CCbjj-617,496
CCbjj-618,238
CCbjj-619,219
CCbjj-620,478
CCbjj-621,186
CCbjj-622,155
CCbjj-623,155
CCbjj-624,157
CCbjj-625,122
CCbjj-626,112
CCbjj-627,72
CCbjj-628,231
CCbjj-629,321
CCbjj-630,404
CCbjj-631,174
CCbjj-632,211
CCbjj-633,174
CCbjj-634,189
CCbjj-635,429
CCbjj-636,336
CCbjj-637,401
CCbjj-638,472
CCbjj-639,284
CCbjj-640,308
CCbjj-641,173
CCbjj-642,61
CCbjj-643,95
CCbjj-644,389
CCbjj-645,355
CCbjj-646,231
CCbjj-647,219
CCbjj-648,443
CCbjj-649,144
CCbjj-650,449
CCbjj-651,291
CCbjj-652,330
CCbjj-653,318
CCbjj-654,34
CCbjj-655,341
CCbjj-656,57
CCbjj-657,420
CCbjj-658,267
CCbjj-659,88
CCbjj-660,432
CCbjj-661,347
CCbjj-662,328
CCbjj-663,79
CCbjj-664,271
CCbjj-665,466
CCbjj-666,149
CCbjj-667,387
CCbjj-668,67
CCbjj-669,260
CCbjj-670,430
CCbjj-671,240
CCbjj-672,312
CCbjj-673,194
CCbjj-674,412
CCbjj-675,292
CCbjj-676,323
CCbjj-677,238
CCbjj-678,406
CCbjj-679,186
CCbjj-680,336
CCbjj-681,393
CCbjj-682,132
CCbjj-683,494
CCbjj-684,428
CCbjj-685,173
CCbjj-686,126
CCbjj-687,296
CCbjj-688,446
CCbjj-689,381
CCbjj-690,266
CCbjj-691,121
CCbjj-692,412
CCbjj-693,177
CCbjj-694,58
CCbjj-695,45
CCbjj-696,379
CCbjj-697,430
CCbjj-698,470
CCbjj-699,235
CCbjj-700,245
CCbjj-701,322
CCbjj-702,362
CCbjj-703,47
CCbjj-704,356
CCbjj-705,409
CCbjj-706,206
CCbjj-707,168
CCbjj-708,470
CCbjj-709,238
CCbjj-710,48
CCbjj-711,99
CCbjj-712,145
CCbjj-713,495
CCbjj-714,338
CCbjj-715,39
CCbjj-716,286
CCbjj-717,286
CCbjj-718,76
CCbjj-719,259
CCbjj-720,184
CCbjj-721,182
CCbjj-722,247
CCbjj-723,132
CCbjj-724,423
CCbjj-725,193
CCbjj-726,459
CCbjj-727,421
CCbjj-728,475
CCbjj-729,442
CCbjj-730,82
CCbjj-731,391
CCbjj-732,33
CCbjj-733,78
CCbjj-734,141
CCbjj-735,226
CCbjj-736,199
CCbjj-737,147
CCbjj-738,104
CCbjj-739,350
CCbjj-740,234
CCbjj-741,113
CCbjj-742,63
CCbjj-743,382
CCbjj-744,43
CCbjj-745,466
CCbjj-746,361
CCbjj-747,232
CCbjj-748,286
CCbjj-749,267
CCbjj-750,293
CCbjj-751,431
CCbjj-752,418
CCbjj-753,412
CCbjj-754,157
CCbjj-755,252
CCbjj-756,96
CCbjj-757,179
CCbjj-758,163
CCbjj-759,373
CCbjj-760,440
CCbjj-761,242
CCbjj-762,66
CCbjj-763,150
CCbjj-764,255
CCbjj-765,320
CCbjj-766,412
CCbjj-767,65
CCbjj-768,218
CCbjj-769,276
CCbjj-770,247
CCbjj-771,409
CCbjj-772,286
CCbjj-773,205
CCbjj-774,240
CCbjj-775,247
CCbjj-776,372
CCbjj-777,376
CCbjj-778,352
CCbjj-779,106
CCbjj-780,452
CCbjj-781,493
CCbjj-782,32
CCbjj-783,55
CCbjj-784,482
CCbjj-785,468
CCbjj-786,32
CCbjj-787,341
CCbjj-788,313
CCbjj-789,268
CCbjj-790,273
CCbjj-791,456
CCbjj-792,59
CCbjj-793,372
CCbjj-794,431
CCbjj-795,34
CCbjj-796,371
CCbjj-797,138
CCbjj-798,346
CCbjj-799,286
CCbjj-800,93
CCbjj-801,248
CCbjj-802,171
CCbjj-803,326
CCbjj-804,283
CCbjj-805,102
CCbjj-806,481
CCbjj-807,210
CCbjj-808,246
CCbjj-809,444
CCbjj-810,151
CCbjj-811,344
CCbjj-812,253
CCbjj-813,479
CCbjj-814,269
CCbjj-815,322
CCbjj-816,273
CCbjj-817,79
CCbjj-818,223
CCbjj-819,43
CCbjj-820,428
CCbjj-821,310
CCbjj-822,487
CCbjj-823,377
CCbjj-824,269
CCbjj-825,37
CCbjj-826,215
CCbjj-827,407
CCbjj-828,277
CCbjj-829,469
CCbjj-830,427
CCbjj-831,113
CCbjj-832,71
CCbjj-833,298
CCbjj-834,48
CCbjj-835,63
CCbjj-836,386
CCbjj-837,203
CCbjj-838,245
CCbjj-839,402
CCbjj-840,340
CCbjj-841,498
CCbjj-842,477
CCbjj-843,214
CCbjj-844,229
CCbjj-845,477
CCbjj-846,126
CCbjj-847,162
CCbjj-848,72
CCbjj-849,133
CCbjj-850,46
CCbjj-851,118
CCbjj-852,203
CCbjj-853,190
CCbjj-854,354
CCbjj-855,300
CCbjj-856,71
CCbjj-857,428
CCbjj-858,478
CCbjj-859,220
CCbjj-860,85
CCbjj-861,200
CCbjj-862,111
CCbjj-863,483
CCbjj-864,319
CCbjj-865,223
CCbjj-866,494
CCbjj-867,403
CCbjj-868,98
CCbjj-869,49
CCbjj-870,171
CCbjj-871,233
CCbjj-872,353
CCbjj-873,326
CCbjj-874,216
CCbjj-875,79
CCbjj-876,231
CCbjj-877,452
CCbjj-878,187
CCbjj-879,194
CCbjj-880,332
CCbjj-881,155
CCbjj-882,247
CCbjj-883,458
CCbjj-884,342
CCbjj-885,417
CCbjj-886,291
CCbjj-887,428
CCbjj-888,138
CCbjj-889,458
CCbjj-890,111
CCbjj-891,366
CCbjj-892,473
CCbjj-893,129
CCbjj-894,136
CCbjj-895,374
CCbjj-896,144
CCbjj-897,441
CCbjj-898,362
CCbjj-899,317
CCbjj-900,461
CCbjj-901,432
CCbjj-902,60
CCbjj-903,236
CCbjj-904,473
CCbjj-905,73
CCbjj-906,436
CCbjj-907,56
CCbjj-908,158
CCbjj-909,179
CCbjj-910,421
CCbjj-911,354
CCbjj-912,309
CCbjj-913,153
CCbjj-914,318
CCbjj-915,425
CCbjj-916,289
CCbjj-917,93
CCbjj-918,236
CCbjj-919,345
CCbjj-920,422
CCbjj-921,71
CCbjj-922,338
CCbjj-923,490
CCbjj-924,231
CCbjj-925,89
CCbjj-926,391
CCbjj-927,427
CCbjj-928,336
CCbjj-929,406
CCbjj-930,94
CCbjj-931,440
CCbjj-932,51
CCbjj-933,307
CCbjj-934,477
CCbjj-935,412
CCbjj-936,53
CCbjj-937,59
CCbjj-938,69
CCbjj-939,110
CCbjj-940,436
CCbjj-941,167
CCbjj-942,318
CCbjj-943,101
CCbjj-944,290
CCbjj-945,272
CCbjj-946,184
CCbjj-947,347
CCbjj-948,252
CCbjj-949,438
CCbjj-950,479
CCbjj-951,49
CCbjj-952,148
CCbjj-953,149
CCbjj-954,328
CCbjj-955,96
CCbjj-956,215
CCbjj-957,454
CCbjj-958,261
CCbjj-959,93
CCbjj-960,387
CCbjj-961,331
CCbjj-962,473
CCbjj-963,261
CCbjj-964,428
CCbjj-965,56
CCbjj-966,215
CCbjj-967,181
CCbjj-968,448
CCbjj-969,52
CCbjj-970,37
CCbjj-971,409
CCbjj-972,243
CCbjj-973,173
CCbjj-974,483
CCbjj-975,474
CCbjj-976,394
CCbjj-977,215
CCbjj-978,442
CCbjj-979,284
CCbjj-980,348
CCbjj-981,183
CCbjj-982,422
CCbjj-983,432
CCbjj-984,356
CCbjj-985,141
CCbjj-986,310
CCbjj-987,53
CCbjj-988,68
CCbjj-989,204
CCbjj-990,218
CCbjj-991,130
CCbjj-992,255
CCbjj-993,186
CCbjj-994,383
CCbjj-995,305
CCbjj-996,290
CCbjj-997,265
CCbjj-998,449
CCbjj-999,408
CCbjj-1000,219
CCbjj-1001,207
CCbjj-1002,305
CCbjj-1003,168
CCbjj-1004,154
CCbjj-1005,498
CCbjj-1006,177
CCbjj-1007,291
CCbjj-1008,202
CCbjj-1009,311
CCbjj-1010,180
CCbjj-1011,418
CCbjj-1012,438
CCbjj-1013,33
CCbjj-1014,376
CCbjj-1015,423
CCbjj-1016,191
CCbjj-1017,120
CCbjj-1018,471
CCbjj-1019,293
CCbjj-1020,155
CCbjj-1021,465
CCbjj-1022,145
CCbjj-1023,384
CCbjj-1024,57
CCbjj-1025,166
CCbjj-1026,191
CCbjj-1027,216
CCbjj-1028,430
CCbjj-1029,409
CCbjj-1030,62
CCbjj-1031,341
CCbjj-1032,346
CCbjj-1033,398
CCbjj-1034,322
CCbjj-1035,42
CCbjj-1036,442
CCbjj-1037,325
CCbjj-1038,283
CCbjj-1039,388
CCbjj-1040,340
CCbjj-1041,43
CCbjj-1042,293
CCbjj-1043,189
CCbjj-1044,424
CCbjj-1045,256
CCbjj-1046,354
CCbjj-1047,207
CCbjj-1048,194
CCbjj-1049,74
CCbjj-1050,482
CCbjj-1051,351
CCbjj-1052,183
CCbjj-1053,315
CCbjj-1054,362
CCbjj-1055,409
CCbjj-1056,67
CCbjj-1057,133
CCbjj-1058,184
CCbjj-1059,110
CCbjj-1060,208
CCbjj-1061,428
CCbjj-1062,347
CCbjj-1063,126
CCbjj-1064,59
CCbjj-1065,189
CCbjj-1066,463
CCbjj-1067,36
CCbjj-1068,324
CCbjj-1069,474
CCbjj-1070,301
CCbjj-1071,232
CCbjj-1072,450
CCbjj-1073,338
CCbjj-1074,107
CCbjj-1075,180
CCbjj-1076,407
CCbjj-1077,216
CCbjj-1078,380
CCbjj-1079,57
CCbjj-1080,482
CCbjj-1081,373
CCbjj-1082,208
CCbjj-1083,239
CCbjj-1084,225
CCbjj-1085,284
CCbjj-1086,244
CCbjj-1087,230
CCbjj-1088,144
CCbjj-1089,168
CCbjj-1090,320
CCbjj-1091,168
CCbjj-1092,228
CCbjj-1093,46
CCbjj-1094,84
CCbjj-1095,111
CCbjj-1096,55
CCbjj-1097,76
CCbjj-1098,55
CCbjj-1099,342
CCbjj-1100,238
CCbjj-1101,149
CCbjj-1102,487
CCbjj-1103,251
CCbjj-1104,108
CCbjj-1105,461
CCbjj-1106,311
CCbjj-1107,70
CCbjj-1108,185
CCbjj-1109,432
CCbjj-1110,30
CCbjj-1111,285
CCbjj-1112,63
CCbjj-1113,387
CCbjj-1114,373
CCbjj-1115,454
CCbjj-1116,373
CCbjj-1117,495
CCbjj-1118,94
CCbjj-1119,284
CCbjj-1120,103
CCbjj-1121,33
CCbjj-1122,427
CCbjj-1123,476
CCbjj-1124,50
CCbjj-1125,349
CCbjj-1126,183
CCbjj-1127,387
CCbjj-1128,273
CCbjj-1129,98
CCbjj-1130,492
CCbjj-1131,437
CCbjj-1132,39
CCbjj-1133,128
CCbjj-1134,494
CCbjj-1135,61
CCbjj-1136,102
CCbjj-1137,444
CCbjj-1138,262
CCbjj-1139,428
CCbjj-1140,207
CCbjj-1141,32
CCbjj-1142,133
CCbjj-1143,64
CCbjj-1144,144
CCbjj-1145,339
CCbjj-1146,234
CCbjj-1147,371
CCbjj-1148,141
CCbjj-1149,228
CCbjj-1150,279
CCbjj-1151,369
CCbjj-1152,130
CCbjj-1153,439
CCbjj-1154,112
CCbjj-1155,251
CCbjj-1156,383
CCbjj-1157,320
CCbjj-1158,185
CCbjj-1159,128
CCbjj-1160,282
CCbjj-1161,255
CCbjj-1162,269
CCbjj-1163,142
CCbjj-1164,408
CCbjj-1165,173
CCbjj-1166,461
CCbjj-1167,272
CCbjj-1168,366
CCbjj-1169,373
CCbjj-1170,98
CCbjj-1171,233
CCbjj-1172,435
CCbjj-1173,41
CCbjj-1174,122
CCbjj-1175,87
CCbjj-1176,324
CCbjj-1177,449
CCbjj-1178,291
CCbjj-1179,205
CCbjj-1180,37
CCbjj-1181,99
CCbjj-1182,84
CCbjj-1183,379
CCbjj-1184,90
CCbjj-1185,283
CCbjj-1186,368
CCbjj-1187,379
CCbjj-1188,423
CCbjj-1189,333
CCbjj-1190,351
CCbjj-1191,395
CCbjj-1192,136
CCbjj-1193,181
CCbjj-1194,405
CCbjj-1195,313
CCbjj-1196,63
CCbjj-1197,342
CCbjj-1198,96
CCbjj-1199,311
CCbjj-1200,220
CCbjj-1201,179
CCbjj-1202,136
CCbjj-1203,449
CCbjj-1204,235
CCbjj-1205,66
CCbjj-1206,160
CCbjj-1207,375
CCbjj-1208,261
CCbjj-1209,487
CCbjj-1210,93
CCbjj-1211,393
CCbjj-1212,247
CCbjj-1213,133
CCbjj-1214,436
CCbjj-1215,484
CCbjj-1216,87
CCbjj-1217,425
CCbjj-1218,371
CCbjj-1219,81
CCbjj-1220,296
CCbjj-1221,294
CCbjj-1222,418
CCbjj-1223,355
CCbjj-1224,100
CCbjj-1225,139
CCbjj-1226,175
CCbjj-1227,492
CCbjj-1228,94
CCbjj-1229,397
CCbjj-1230,108
CCbjj-1231,339
CCbjj-1232,422
CCbjj-1233,356
CCbjj-1234,473
CCbjj-1235,166
CCbjj-1236,201
CCbjj-1237,168
CCbjj-1238,160
CCbjj-1239,234
CCbjj-1240,290
CCbjj-1241,189
CCbjj-1242,179
CCbjj-1243,339
CCbjj-1244,466
CCbjj-1245,475
CCbjj-1246,463
CCbjj-1247,136
CCbjj-1248,55
CCbjj-1249,96
CCbjj-1250,211
CCbjj-1251,454
CCbjj-1252,156
CCbjj-1253,407
CCbjj-1254,165
CCbjj-1255,53
CCbjj-1256,298
CCbjj-1257,360
CCbjj-1258,259
CCbjj-1259,138
CCbjj-1260,217
CCbjj-1261,264
CCbjj-1262,171
CCbjj-1263,75
CCbjj-1264,272
CCbjj-1265,290
CCbjj-1266,268
CCbjj-1267,170
CCbjj-1268,181
CCbjj-1269,429
CCbjj-1270,58
CCbjj-1271,48
CCbjj-1272,110
CCbjj-1273,473
CCbjj-1274,475
CCbjj-1275,205
CCbjj-1276,250
CCbjj-1277,317
CCbjj-1278,75
CCbjj-1279,110
CCbjj-1280,100
CCbjj-1281,259
CCbjj-1282,354
CCbjj-1283,469
CCbjj-1284,152
CCbjj-1285,446
CCbjj-1286,52
CCbjj-1287,491
CCbjj-1288,408
CCbjj-1289,127
CCbjj-1290,218
CCbjj-1291,161
CCbjj-1292,478
CCbjj-1293,159
CCbjj-1294,378
CCbjj-1295,215
CCbjj-1296,358
CCbjj-1297,57
CCbjj-1298,190
CCbjj-1299,308
CCbjj-1300,113
CCbjj-1301,404
CCbjj-1302,316
CCbjj-1303,77
CCbjj-1304,75
CCbjj-1305,412
CCbjj-1306,74
CCbjj-1307,247
CCbjj-1308,124
CCbjj-1309,445
CCbjj-1310,336
CCbjj-1311,332
CCbjj-1312,346
CCbjj-1313,207
CCbjj-1314,64
CCbjj-1315,428
CCbjj-1316,492
CCbjj-1317,450
CCbjj-1318,85
CCbjj-1319,88
CCbjj-1320,438
CCbjj-1321,49
CCbjj-1322,205
CCbjj-1323,115
CCbjj-1324,177
CCbjj-1325,428
CCbjj-1326,91
CCbjj-1327,123
CCbjj-1328,43
CCbjj-1329,134
CCbjj-1330,434
CCbjj-1331,207
CCbjj-1332,238
CCbjj-1333,98
CCbjj-1334,428
CCbjj-1335,92
CCbjj-1336,200
CCbjj-1337,312
CCbjj-1338,411
CCbjj-1339,346
CCbjj-1340,339
CCbjj-1341,216
CCbjj-1342,265
CCbjj-1343,196
CCbjj-1344,241
CCbjj-1345,146
CCbjj-1346,262
CCbjj-1347,192
CCbjj-1348,110
CCbjj-1349,294
CCbjj-1350,392
CCbjj-1351,395
CCbjj-1352,152
CCbjj-1353,89
CCbjj-1354,91
CCbjj-1355,284
CCbjj-1356,135
CCbjj-1357,353
CCbjj-1358,173
CCbjj-1359,429
CCbjj-1360,265
CCbjj-1361,381
CCbjj-1362,61
CCbjj-1363,387
CCbjj-1364,276
CCbjj-1365,261
CCbjj-1366,67
CCbjj-1367,196
CCbjj-1368,475
CCbjj-1369,476
CCbjj-1370,134
CCbjj-1371,45
CCbjj-1372,83
CCbjj-1373,283
CCbjj-1374,266
CCbjj-1375,428
CCbjj-1376,47
CCbjj-1377,289
CCbjj-1378,66
CCbjj-1379,325
CCbjj-1380,92
CCbjj-1381,97
CCbjj-1382,430
CCbjj-1383,494
CCbjj-1384,405
CCbjj-1385,205
CCbjj-1386,48
CCbjj-1387,115
CCbjj-1388,452
CCbjj-1389,264
CCbjj-1390,478
CCbjj-1391,338
CCbjj-1392,175
CCbjj-1393,324
CCbjj-1394,473
CCbjj-1395,121
CCbjj-1396,490
CCbjj-1397,448
CCbjj-1398,358
CCbjj-1399,366
CCbjj-1400,447
CCbjj-1401,300
CCbjj-1402,102
CCbjj-1403,388
CCbjj-1404,304
CCbjj-1405,104
CCbjj-1406,114
CCbjj-1407,220
CCbjj-1408,367
CCbjj-1409,311
CCbjj-1410,206
CCbjj-1411,275
CCbjj-1412,289
CCbjj-1413,479
CCbjj-1414,174
CCbjj-1415,276
CCbjj-1416,158
CCbjj-1417,106
CCbjj-1418,231
CCbjj-1419,110
CCbjj-1420,148
CCbjj-1421,242
CCbjj-1422,398
CCbjj-1423,136
CCbjj-1424,166
CCbjj-1425,124
CCbjj-1426,128
CCbjj-1427,423
CCbjj-1428,206
CCbjj-1429,77
CCbjj-1430,205
CCbjj-1431,428
CCbjj-1432,74
CCbjj-1433,287
CCbjj-1434,343
CCbjj-1435,195
CCbjj-1436,32
CCbjj-1437,247
CCbjj-1438,398
CCbjj-1439,216
CCbjj-1440,126
CCbjj-1441,220
CCbjj-1442,379
CCbjj-1443,72
CCbjj-1444,289
CCbjj-1445,200
CCbjj-1446,266
CCbjj-1447,218
CCbjj-1448,371
CCbjj-1449,334
CCbjj-1450,477
CCbjj-1451,49
