id_obra,cidade,tipo_solo,nivel_chuva,risco_medio,pior_etapa,risco_pior,material_critico,taxa_insucesso
CCbjj-148,Manaus,Argiloso,64,11.23,Acabamento,10.25,Revestimento,0.52
CCbjj-149,Porto Alegre,Arenoso,119,11.76,Fundação,8.06,Revestimento,0.37
CCbjj-150,Fortaleza,Siltoso,206,6.64,Acabamento,12.58,Revestimento,0.78
CCbjj-151,Fortaleza,Rochoso,125,7.47,Estrutura,9.23,Madeira,0.44
CCbjj-152,Recife,Siltoso,64,6.14,Acabamento,11.08,Areia,0.55
CCbjj-153,Fortaleza,Siltoso,145,9.59,Acabamento,11.09,Cimento,0.43
CCbjj-154,Manaus,Argiloso,231,11.61,Acabamento,9.51,Tintas,0.57
CCbjj-155,Fortaleza,Siltoso,183,8.65,Fundação,12.71,Brita,0.61
CCbjj-156,Salvador,Rochoso,160,6.52,Fundação,12.93,Aço,0.36
CCbjj-157,Recife,Rochoso,232,10.17,Estrutura,9.06,Brita,0.66
CCbjj-158,Belém,Siltoso,175,8.64,Acabamento,8.92,Revestimento,0.67
CCbjj-159,São Paulo,Arenoso,295,11.58,Estrutura,9.75,Areia,0.8
CCbjj-160,São Paulo,Rochoso,244,11.57,Acabamento,12.61,Madeira,0.51
CCbjj-161,Belo Horizonte,Arenoso,217,11.73,Estrutura,12.85,Cimento,0.52
CCbjj-162,Fortaleza,Argiloso,129,10.05,Fundação,12.0,Revestimento,0.8
CCbjj-163,Belém,Rochoso,158,11.64,Acabamento,11.13,Piso,0.78
CCbjj-164,Fortaleza,Rochoso,58,8.43,Estrutura,11.92,Piso,0.85
CCbjj-165,Belo Horizonte,Rochoso,70,9.33,Fundação,12.76,Brita,0.44
CCbjj-166,Belém,Siltoso,290,9.06,Estrutura,9.66,Madeira,0.61
CCbjj-167,Porto Alegre,Siltoso,82,10.33,Acabamento,8.95,Cimento,0.32
CCbjj-168,Rio de Janeiro,Siltoso,242,7.63,Estrutura,12.3,Aço,0.41
CCbjj-169,Porto Alegre,Argiloso,293,9.58,Acabamento,12.55,Aço,0.75
CCbjj-170,Belo Horizonte,Siltoso,290,7.77,Acabamento,12.29,Piso,0.73
CCbjj-171,Rio de Janeiro,Rochoso,224,9.08,Estrutura,11.53,Piso,0.68
CCbjj-172,São Paulo,Arenoso,176,8.39,Acabamento,9.22,Brita,0.78
CCbjj-173,Manaus,Siltoso,297,11.59,Acabamento,10.47,Areia,0.51
CCbjj-174,Rio de Janeiro,Rochoso,267,6.91,Estrutura,9.34,Brita,0.32
CCbjj-175,Porto Alegre,Arenoso,89,8.7,Fundação,11.64,Madeira,0.42
CCbjj-176,Belo Horizonte,Arenoso,226,11.39,Acabamento,12.13,Madeira,0.49
CCbjj-177,Rio de Janeiro,Arenoso,192,8.83,Acabamento,10.79,Revestimento,0.4
CCbjj-178,Rio de Janeiro,Arenoso,211,11.63,Estrutura,9.14,Aço,0.5
CCbjj-179,Belo Horizonte,Argiloso,60,10.58,Acabamento,9.99,Brita,0.67
CCbjj-180,Rio de Janeiro,Rochoso,190,8.32,Estrutura,9.41,Madeira,0.87
CCbjj-181,Porto Alegre,Siltoso,177,11.03,Estrutura,11.86,Piso,0.69
CCbjj-182,São Paulo,Rochoso,258,8.82,Fundação,12.79,Revestimento,0.54
CCbjj-183,Rio de Janeiro,Argiloso,283,10.48,Fundação,12.38,Brita,0.31
CCbjj-184,Recife,Argiloso,54,9.71,Fundação,9.44,Cimento,0.63
CCbjj-185,Belém,Siltoso,226,9.16,Estrutura,9.07,Piso,0.79
CCbjj-186,Manaus,Arenoso,119,9.42,Estrutura,11.13,Areia,0.4
CCbjj-187,Belo Horizonte,Siltoso,253,6.54,Fundação,9.82,Madeira,0.76
CCbjj-188,Fortaleza,Argiloso,298,6.19,Fundação,10.12,Revestimento,0.45
CCbjj-189,Belém,Arenoso,210,8.62,Estrutura,8.34,Brita,0.5
CCbjj-190,Belém,Arenoso,195,8.17,Fundação,8.96,Areia,0.59
CCbjj-191,Belém,Arenoso,133,6.18,Estrutura,10.95,Piso,0.83
CCbjj-192,Curitiba,Siltoso,254,6.25,Fundação,12.94,Aço,0.87
CCbjj-193,Belo Horizonte,Arenoso,199,10.55,Fundação,8.97,Revestimento,0.62
CCbjj-194,Porto Alegre,Arenoso,71,10.38,Fundação,10.64,Aço,0.76
CCbjj-195,Manaus,Arenoso,159,7.54,Fundação,10.47,Brita,0.81
CCbjj-196,Curitiba,Rochoso,78,11.9,Estrutura,11.26,Brita,0.49
CCbjj-197,Belém,Arenoso,89,7.53,Fundação,11.6,Piso,0.87
CCbjj-198,Salvador,Rochoso,164,7.39,Fundação,9.3,Brita,0.59
CCbjj-199,Belém,Rochoso,193,7.09,Estrutura,12.49,Brita,0.56
CCbjj-200,São Paulo,Arenoso,74,6.45,Fundação,9.23,Areia,0.76
CCbjj-201,Porto Alegre,Arenoso,273,6.69,Fundação,10.69,Cimento,0.57
CCbjj-202,Manaus,Arenoso,160,8.78,Acabamento,11.51,Tintas,0.62
CCbjj-203,Recife,Rochoso,150,10.31,Acabamento,8.31,Areia,0.5
CCbjj-204,Belém,Arenoso,231,7.32,Acabamento,12.59,Cimento,0.52
CCbjj-205,Belo Horizonte,Argiloso,189,7.53,Estrutura,10.47,Brita,0.52
CCbjj-206,São Paulo,Rochoso,122,6.56,Fundação,8.17,Revestimento,0.32
CCbjj-207,Rio de Janeiro,Siltoso,261,9.07,Acabamento,10.31,Madeira,0.77
CCbjj-208,São Paulo,Arenoso,174,6.24,Fundação,10.1,Tintas,0.64
CCbjj-209,Rio de Janeiro,Siltoso,126,9.19,Fundação,8.91,Cimento,0.57
CCbjj-210,Salvador,Argiloso,243,9.13,Acabamento,8.41,Revestimento,0.64
CCbjj-211,Salvador,Siltoso,164,6.17,Estrutura,11.61,Tintas,0.71
CCbjj-212,Belém,Arenoso,203,7.2,Estrutura,10.93,Areia,0.46
CCbjj-213,Belo Horizonte,Rochoso,285,9.16,Fundação,10.77,Tintas,0.85
CCbjj-214,Belo Horizonte,Rochoso,266,9.69,Estrutura,9.62,Madeira,0.57
CCbjj-215,São Paulo,Arenoso,244,8.22,Estrutura,12.25,Revestimento,0.49
CCbjj-216,Manaus,Argiloso,260,9.82,Fundação,11.77,Revestimento,0.42
CCbjj-217,Porto Alegre,Argiloso,261,11.28,Estrutura,12.88,Tintas,0.43
CCbjj-218,São Paulo,Rochoso,95,10.07,Fundação,10.49,Revestimento,0.32
CCbjj-219,Belém,Siltoso,203,9.74,Acabamento,9.27,Brita,0.46
CCbjj-220,Curitiba,Arenoso,210,9.84,Acabamento,9.83,Aço,0.52
CCbjj-221,Curitiba,Arenoso,167,10.05,Acabamento,10.38,Brita,0.89
CCbjj-222,Belo Horizonte,Siltoso,183,10.55,Estrutura,8.0,Piso,0.41
CCbjj-223,Rio de Janeiro,Argiloso,247,6.15,Fundação,11.36,Tintas,0.43
CCbjj-224,Salvador,Rochoso,138,9.45,Acabamento,10.24,Revestimento,0.55
CCbjj-225,Fortaleza,Arenoso,170,6.33,Acabamento,9.46,Areia,0.83
CCbjj-226,Salvador,Argiloso,178,8.03,Fundação,8.25,Brita,0.62
CCbjj-227,Recife,Arenoso,87,8.09,Acabamento,9.9,Aço,0.8
CCbjj-228,Manaus,Siltoso,110,10.91,Acabamento,9.86,Revestimento,0.68
CCbjj-229,Fortaleza,Siltoso,155,11.72,Acabamento,9.27,Brita,0.67
CCbjj-230,Porto Alegre,Rochoso,76,6.76,Acabamento,8.8,Madeira,0.57
CCbjj-231,Rio de Janeiro,Arenoso,116,9.79,Estrutura,12.05,Tintas,0.77
CCbjj-232,Fortaleza,Rochoso,137,8.01,Fundação,12.81,Aço,0.3
CCbjj-233,Curitiba,Siltoso,52,6.05,Estrutura,10.11,Madeira,0.34
CCbjj-234,Fortaleza,Siltoso,221,11.39,Estrutura,11.23,Areia,0.5
CCbjj-235,Curitiba,Rochoso,191,11.34,Acabamento,8.29,Piso,0.82
CCbjj-236,Salvador,Rochoso,246,8.9,Acabamento,12.61,Tintas,0.85
CCbjj-237,Curitiba,Argiloso,130,9.31,Fundação,12.51,Areia,0.31
CCbjj-238,Rio de Janeiro,Siltoso,147,11.17,Acabamento,12.83,Piso,0.71
CCbjj-239,Porto Alegre,Rochoso,256,6.31,Acabamento,12.13,Piso,0.84
CCbjj-240,São Paulo,Rochoso,258,11.4,Acabamento,9.12,Revestimento,0.58
CCbjj-241,Belo Horizonte,Rochoso,175,7.02,Acabamento,8.06,Areia,0.37
CCbjj-242,Porto Alegre,Siltoso,221,9.3,Estrutura,10.1,Revestimento,0.51
CCbjj-243,Porto Alegre,Rochoso,218,10.58,Acabamento,9.91,Cimento,0.49
CCbjj-244,Porto Alegre,Siltoso,139,8.36,Estrutura,11.6,Brita,0.49
CCbjj-245,Salvador,Argiloso,101,6.39,Fundação,9.8,Tintas,0.47
CCbjj-246,Recife,Rochoso,160,7.77,Fundação,10.38,Areia,0.82
CCbjj-247,São Paulo,Siltoso,202,10.43,Acabamento,12.25,Aço,0.87
CCbjj-248,Fortaleza,Siltoso,62,8.31,Acabamento,12.08,Areia,0.54
CCbjj-249,Rio de Janeiro,Arenoso,261,9.02,Acabamento,9.69,Aço,0.38
CCbjj-250,Porto Alegre,Rochoso,293,10.88,Estrutura,9.66,Brita,0.52
CCbjj-251,Manaus,Siltoso,71,8.02,Acabamento,10.02,Revestimento,0.84
CCbjj-252,Porto Alegre,Argiloso,134,7.95,Estrutura,10.92,Areia,0.58
CCbjj-253,Fortaleza,Arenoso,116,7.79,Acabamento,11.27,Brita,0.65
CCbjj-254,Rio de Janeiro,Argiloso,216,9.32,Acabamento,12.46,Aço,0.49
CCbjj-255,Belém,Rochoso,105,10.74,Acabamento,11.33,Cimento,0.42
CCbjj-256,Manaus,Rochoso,55,10.19,Acabamento,9.51,Brita,0.52
CCbjj-257,Curitiba,Rochoso,276,9.12,Estrutura,10.73,Madeira,0.47
CCbjj-258,Belém,Arenoso,258,8.55,Acabamento,10.89,Tintas,0.54
CCbjj-259,Rio de Janeiro,Rochoso,251,9.8,Fundação,11.76,Aço,0.45
CCbjj-260,São Paulo,Argiloso,223,7.4,Estrutura,9.55,Revestimento,0.83
CCbjj-261,Curitiba,Argiloso,247,6.54,Fundação,10.58,Brita,0.34
CCbjj-262,Salvador,Argiloso,62,7.89,Fundação,9.19,Piso,0.72
CCbjj-263,Belém,Rochoso,247,11.69,Estrutura,9.85,Tintas,0.32
CCbjj-264,São Paulo,Rochoso,164,6.83,Acabamento,10.1,Cimento,0.4
CCbjj-265,Curitiba,Siltoso,213,9.01,Acabamento,8.26,Areia,0.5
CCbjj-266,Fortaleza,Rochoso,105,10.73,Estrutura,11.54,Tintas,0.31
CCbjj-267,Rio de Janeiro,Siltoso,162,11.03,Estrutura,9.27,Brita,0.79
CCbjj-268,Rio de Janeiro,Arenoso,114,10.0,Estrutura,11.31,Tintas,0.74
CCbjj-269,Belo Horizonte,Arenoso,119,9.52,Acabamento,12.67,Areia,0.6
CCbjj-270,Curitiba,Siltoso,167,11.08,Fundação,10.52,Brita,0.67
CCbjj-271,Porto Alegre,Arenoso,258,9.15,Estrutura,9.29,Brita,0.69
CCbjj-272,Curitiba,Argiloso,237,10.75,Fundação,9.4,Tintas,0.88
CCbjj-273,Porto Alegre,Rochoso,72,8.58,Fundação,9.4,Cimento,0.44
CCbjj-274,Fortaleza,Siltoso,116,8.53,Fundação,12.59,Piso,0.84
CCbjj-275,Fortaleza,Siltoso,147,11.52,Estrutura,11.84,Revestimento,0.4
CCbjj-276,Manaus,Arenoso,222,9.45,Fundação,10.76,Madeira,0.77
CCbjj-277,Porto Alegre,Siltoso,288,11.87,Fundação,9.25,Brita,0.69
CCbjj-278,Belo Horizonte,Argiloso,129,10.88,Fundação,9.82,Brita,0.52
CCbjj-279,Salvador,Arenoso,124,8.93,Fundação,12.02,Cimento,0.37
CCbjj-280,São Paulo,Arenoso,179,9.68,Acabamento,8.52,Brita,0.76
CCbjj-281,Recife,Siltoso,207,8.07,Estrutura,11.57,Tintas,0.48
CCbjj-282,Salvador,Rochoso,264,10.51,Fundação,11.83,Madeira,0.35
CCbjj-283,Manaus,Rochoso,185,9.66,Fundação,11.71,Piso,0.36
CCbjj-284,Porto Alegre,Arenoso,245,9.86,Estrutura,11.74,Madeira,0.45
CCbjj-285,Recife,Siltoso,92,9.37,Estrutura,8.39,Cimento,0.4
CCbjj-286,Fortaleza,Arenoso,181,9.07,Acabamento,10.15,Madeira,0.56
CCbjj-287,Salvador,Argiloso,181,9.45,Acabamento,12.81,Revestimento,0.83
CCbjj-288,Rio de Janeiro,Argiloso,229,8.51,Acabamento,9.84,Revestimento,0.43
CCbjj-289,Porto Alegre,Rochoso,124,6.53,Fundação,8.41,Aço,0.82
CCbjj-290,Curitiba,Arenoso,238,8.99,Fundação,8.31,Cimento,0.88
CCbjj-291,Manaus,Siltoso,140,7.21,Estrutura,9.75,Piso,0.57
CCbjj-292,São Paulo,Rochoso,295,11.08,Fundação,10.79,Tintas,0.75
CCbjj-293,Salvador,Argiloso,158,10.74,Fundação,11.67,Madeira,0.31
CCbjj-294,São Paulo,Rochoso,299,10.01,Acabamento,12.16,Areia,0.45
CCbjj-295,Recife,Argiloso,295,11.26,Acabamento,12.15,Revestimento,0.75
CCbjj-296,Porto Alegre,Argiloso,219,8.34,Acabamento,12.64,Piso,0.51
CCbjj-297,Curitiba,Siltoso,110,11.98,Acabamento,9.45,Aço,0.6
CCbjj-298,Manaus,Arenoso,177,10.32,Estrutura,10.57,Piso,0.43
CCbjj-299,Porto Alegre,Rochoso,255,11.77,Estrutura,9.82,Tintas,0.56
CCbjj-300,Rio de Janeiro,Arenoso,235,6.17,Acabamento,12.35,Madeira,0.31
CCbjj-301,São Paulo,Arenoso,100,11.46,Acabamento,10.83,Piso,0.3
CCbjj-302,São Paulo,Argiloso,199,9.21,Fundação,11.93,Tintas,0.32
CCbjj-303,Recife,Rochoso,267,6.15,Acabamento,12.49,Brita,0.82
CCbjj-304,Rio de Janeiro,Argiloso,93,10.0,Fundação,8.69,Areia,0.6
CCbjj-305,Recife,Rochoso,133,10.54,Estrutura,10.0,Aço,0.44
CCbjj-306,Belo Horizonte,Siltoso,105,10.15,Fundação,8.27,Cimento,0.6
CCbjj-307,Rio de Janeiro,Siltoso,78,10.42,Estrutura,11.09,Tintas,0.59
CCbjj-308,Manaus,Arenoso,203,6.05,Fundação,9.83,Brita,0.85
CCbjj-309,Belém,Argiloso,166,7.76,Estrutura,10.26,Tintas,0.32
CCbjj-310,Porto Alegre,Siltoso,134,7.18,Acabamento,11.45,Revestimento,0.33
CCbjj-311,Curitiba,Argiloso,231,10.12,Fundação,10.06,Piso,0.31
CCbjj-312,Recife,Rochoso,299,6.84,Acabamento,10.36,Madeira,0.51
CCbjj-313,Manaus,Argiloso,119,6.91,Estrutura,12.12,Madeira,0.66
CCbjj-314,Fortaleza,Siltoso,67,7.24,Acabamento,11.53,Piso,0.38
CCbjj-315,Curitiba,Siltoso,210,11.48,Acabamento,8.24,Revestimento,0.5
CCbjj-316,São Paulo,Argiloso,162,6.88,Acabamento,10.14,Aço,0.6
CCbjj-317,Porto Alegre,Siltoso,76,11.27,Estrutura,9.61,Tintas,0.73
CCbjj-318,Manaus,Siltoso,152,8.96,Estrutura,8.46,Areia,0.67
CCbjj-319,Belo Horizonte,Siltoso,204,6.89,Estrutura,11.26,Aço,0.67
CCbjj-320,Belém,Siltoso,233,11.39,Acabamento,12.46,Areia,0.48
CCbjj-321,Manaus,Rochoso,98,7.46,Fundação,8.06,Madeira,0.61
CCbjj-322,São Paulo,Arenoso,258,9.01,Fundação,10.77,Cimento,0.53
CCbjj-323,Recife,Arenoso,88,7.52,Fundação,12.28,Madeira,0.67
CCbjj-324,Salvador,Rochoso,249,8.26,Estrutura,8.32,Brita,0.5
CCbjj-325,Curitiba,Arenoso,218,6.55,Fundação,10.84,Aço,0.68
CCbjj-326,Belo Horizonte,Rochoso,229,7.67,Fundação,10.55,Areia,0.34
CCbjj-327,Rio de Janeiro,Arenoso,117,11.74,Acabamento,12.03,Areia,0.74
CCbjj-328,São Paulo,Siltoso,140,11.05,Acabamento,9.88,Tintas,0.69
CCbjj-329,Belo Horizonte,Arenoso,120,11.34,Estrutura,10.18,Brita,0.5
CCbjj-330,Belo Horizonte,Rochoso,264,11.0,Acabamento,10.04,Tintas,0.68
CCbjj-331,Manaus,Argiloso,52,8.24,Fundação,10.57,Brita,0.73
CCbjj-332,Belém,Siltoso,99,9.42,Fundação,8.91,Revestimento,0.37
CCbjj-333,Belém,Argiloso,96,9.64,Fundação,12.34,Cimento,0.85
CCbjj-334,Belém,Rochoso,65,8.61,Acabamento,8.28,Aço,0.52
CCbjj-335,Belém,Siltoso,164,11.64,Fundação,12.52,Aço,0.52
CCbjj-336,Rio de Janeiro,Argiloso,234,9.41,Fundação,12.55,Piso,0.4
CCbjj-337,São Paulo,Arenoso,285,10.99,Acabamento,11.1,Madeira,0.56
CCbjj-338,Porto Alegre,Rochoso,186,9.53,Acabamento,9.77,Madeira,0.76
CCbjj-339,Recife,Argiloso,223,9.04,Estrutura,11.31,Madeira,0.44
CCbjj-340,Curitiba,Siltoso,269,6.56,Acabamento,9.23,Tintas,0.75
CCbjj-341,São Paulo,Arenoso,83,7.11,Acabamento,10.39,Madeira,0.56
CCbjj-342,Rio de Janeiro,Argiloso,87,10.43,Fundação,12.63,Aço,0.87
CCbjj-343,Belo Horizonte,Argiloso,218,10.27,Estrutura,11.0,Aço,0.87
CCbjj-344,Porto Alegre,Argiloso,268,9.06,Fundação,8.52,Tintas,0.43
CCbjj-345,Belém,Arenoso,201,6.68,Fundação,8.18,Piso,0.89
CCbjj-346,Rio de Janeiro,Argiloso,80,6.96,Estrutura,11.82,Aço,0.3
CCbjj-347,Belo Horizonte,Siltoso,65,10.86,Fundação,9.44,Madeira,0.63
CCbjj-348,Porto Alegre,Rochoso,62,7.63,Acabamento,9.49,Cimento,0.55
CCbjj-349,Rio de Janeiro,Siltoso,274,8.61,Fundação,10.88,Revestimento,0.84
CCbjj-350,Fortaleza,Siltoso,259,10.63,Estrutura,9.09,Areia,0.89
CCbjj-351,Recife,Rochoso,245,6.97,Estrutura,12.97,Areia,0.79
CCbjj-352,Manaus,Argiloso,213,8.17,Estrutura,11.12,Madeira,0.44
CCbjj-353,Fortaleza,Argiloso,228,9.11,Fundação,8.29,Revestimento,0.69
CCbjj-354,São Paulo,Siltoso,236,10.88,Fundação,10.28,Brita,0.76
CCbjj-355,Manaus,Siltoso,162,9.38,Fundação,9.25,Piso,0.63
CCbjj-356,Salvador,Argiloso,137,10.16,Acabamento,12.14,Revestimento,0.37
CCbjj-357,Curitiba,Rochoso,107,6.35,Estrutura,8.4,Revestimento,0.45
CCbjj-358,Recife,Rochoso,248,9.42,Estrutura,10.26,Aço,0.39
CCbjj-359,Manaus,Arenoso,204,8.18,Estrutura,12.62,Madeira,0.34
CCbjj-360,Recife,Rochoso,159,8.14,Estrutura,9.32,Areia,0.74
CCbjj-361,Belo Horizonte,Argiloso,204,7.38,Fundação,9.66,Piso,0.65
CCbjj-362,Salvador,Argiloso,110,7.75,Acabamento,9.7,Revestimento,0.38
CCbjj-363,Rio de Janeiro,Rochoso,252,11.36,Fundação,8.53,Piso,0.49
CCbjj-364,Fortaleza,Arenoso,55,9.51,Estrutura,10.94,Tintas,0.43
CCbjj-365,Curitiba,Argiloso,132,6.48,Estrutura,10.43,Areia,0.71
CCbjj-366,Recife,Argiloso,224,6.67,Estrutura,10.59,Areia,0.76
CCbjj-367,São Paulo,Argiloso,226,10.28,Fundação,8.99,Tintas,0.56
CCbjj-368,Rio de Janeiro,Arenoso,292,6.78,Acabamento,12.42,Revestimento,0.84
CCbjj-369,Belém,Argiloso,292,8.41,Acabamento,11.94,Cimento,0.58
CCbjj-370,Curitiba,Arenoso,261,7.75,Acabamento,11.97,Madeira,0.9
CCbjj-371,Rio de Janeiro,Arenoso,134,10.22,Acabamento,10.38,Madeira,0.8
CCbjj-372,Fortaleza,Argiloso,98,8.06,Fundação,11.53,Madeira,0.65
CCbjj-373,Recife,Arenoso,82,6.16,Fundação,11.34,Cimento,0.49
CCbjj-374,Curitiba,Rochoso,221,9.04,Fundação,9.36,Revestimento,0.55
CCbjj-375,São Paulo,Siltoso,262,9.37,Estrutura,8.15,Tintas,0.85
CCbjj-376,Rio de Janeiro,Arenoso,286,9.54,Fundação,9.4,Madeira,0.59
CCbjj-377,Fortaleza,Rochoso,295,6.63,Acabamento,8.48,Aço,0.45
CCbjj-378,Fortaleza,Argiloso,197,7.19,Acabamento,10.63,Brita,0.79
CCbjj-379,Rio de Janeiro,Siltoso,135,11.47,Estrutura,12.01,Piso,0.66
CCbjj-380,Belém,Rochoso,79,6.87,Fundação,10.35,Piso,0.86
CCbjj-381,Belém,Rochoso,185,10.9,Fundação,12.73,Cimento,0.71
CCbjj-382,Belém,Rochoso,127,8.86,Estrutura,10.33,Aço,0.49
CCbjj-383,Recife,Argiloso,187,7.5,Fundação,11.49,Tintas,0.34
CCbjj-384,Fortaleza,Argiloso,240,10.82,Acabamento,10.49,Tintas,0.75
CCbjj-385,Porto Alegre,Rochoso,145,9.15,Estrutura,12.3,Cimento,0.85
CCbjj-386,Recife,Rochoso,143,10.43,Fundação,11.64,Revestimento,0.44
CCbjj-387,Manaus,Siltoso,244,8.74,Fundação,10.43,Areia,0.53
CCbjj-388,Porto Alegre,Arenoso,185,10.87,Estrutura,8.61,Areia,0.88
CCbjj-389,Belo Horizonte,Siltoso,128,11.67,Estrutura,11.57,Brita,0.52
CCbjj-390,Belo Horizonte,Argiloso,63,9.53,Fundação,10.51,Tintas,0.45
CCbjj-391,São Paulo,Argiloso,181,7.28,Estrutura,12.56,Piso,0.31
CCbjj-392,Fortaleza,Arenoso,153,6.13,Fundação,10.2,Aço,0.71
CCbjj-393,Belo Horizonte,Arenoso,68,11.84,Fundação,8.87,Tintas,0.43
CCbjj-394,Recife,Arenoso,60,10.01,Acabamento,12.16,Aço,0.77
CCbjj-395,Porto Alegre,Rochoso,235,9.7,Fundação,10.43,Cimento,0.4
CCbjj-396,Fortaleza,Rochoso,236,6.04,Estrutura,11.57,Piso,0.45
CCbjj-397,Fortaleza,Siltoso,248,10.67,Estrutura,9.29,Areia,0.79
CCbjj-398,Belo Horizonte,Rochoso,225,6.68,Acabamento,9.29,Piso,0.51
CCbjj-399,Curitiba,Argiloso,242,8.37,Fundação,12.99,Piso,0.53
CCbjj-400,Porto Alegre,Argiloso,137,10.29,Estrutura,8.17,Revestimento,0.88
CCbjj-401,Belo Horizonte,Arenoso,125,11.87,Acabamento,8.61,Aço,0.76
CCbjj-402,Salvador,Argiloso,139,10.16,Estrutura,10.16,Areia,0.85
CCbjj-403,Fortaleza,Arenoso,298,7.09,Acabamento,12.79,Tintas,0.52
CCbjj-404,Rio de Janeiro,Siltoso,130,7.28,Acabamento,11.7,Areia,0.43
CCbjj-405,Curitiba,Arenoso,82,7.11,Fundação,9.27,Piso,0.41
CCbjj-406,Belém,Argiloso,269,10.72,Fundação,12.71,Areia,0.76
CCbjj-407,Belo Horizonte,Rochoso,217,11.44,Estrutura,10.87,Piso,0.37
